"facts_key";"rental_key";"inventory_key";"title";"release_year";"length";"rental_date";"rental_duration";"rental_rate";"replacement_cost"
682;9851;25;"AFRICAN EGG";"2006";130;"2005-07-31 12:50:24";6;2.99;22.99
683;15458;25;"AFRICAN EGG";"2006";130;"2006-02-14 15:16:03";6;2.99;22.99
684;317;26;"AGENT TRUMAN";"2006";169;"2005-05-26 23:23:56";3;2.99;17.99
685;3391;26;"AGENT TRUMAN";"2006";169;"2005-06-21 15:11:02";3;2.99;17.99
686;4594;26;"AGENT TRUMAN";"2006";169;"2005-07-08 06:40:06";3;2.99;17.99
687;8353;26;"AGENT TRUMAN";"2006";169;"2005-07-29 04:52:10";3;2.99;17.99
688;12764;26;"AGENT TRUMAN";"2006";169;"2005-08-18 23:14:15";3;2.99;17.99
689;2965;27;"AGENT TRUMAN";"2006";169;"2005-06-20 07:33:38";3;2.99;17.99
690;3567;27;"AGENT TRUMAN";"2006";169;"2005-07-06 03:09:36";3;2.99;17.99
691;10526;27;"AGENT TRUMAN";"2006";169;"2005-08-01 11:55:33";3;2.99;17.99
692;11944;27;"AGENT TRUMAN";"2006";169;"2005-08-17 17:02:42";3;2.99;17.99
693;8263;28;"AGENT TRUMAN";"2006";169;"2005-07-29 01:11:23";3;2.99;17.99
694;13796;28;"AGENT TRUMAN";"2006";169;"2005-08-20 12:32:32";3;2.99;17.99
695;5806;29;"AGENT TRUMAN";"2006";169;"2005-07-10 15:11:54";3;2.99;17.99
696;10485;29;"AGENT TRUMAN";"2006";169;"2005-08-01 10:20:34";3;2.99;17.99
697;12513;29;"AGENT TRUMAN";"2006";169;"2005-08-18 13:31:45";3;2.99;17.99
698;259;30;"AGENT TRUMAN";"2006";169;"2005-05-26 15:32:46";3;2.99;17.99
699;2569;30;"AGENT TRUMAN";"2006";169;"2005-06-19 04:19:04";3;2.99;17.99
700;3756;30;"AGENT TRUMAN";"2006";169;"2005-07-06 12:40:38";3;2.99;17.99
701;7810;30;"AGENT TRUMAN";"2006";169;"2005-07-28 08:00:38";3;2.99;17.99
702;12463;30;"AGENT TRUMAN";"2006";169;"2005-08-18 11:31:34";3;2.99;17.99
703;11261;31;"AGENT TRUMAN";"2006";169;"2005-08-02 13:54:26";3;2.99;17.99
704;14554;31;"AGENT TRUMAN";"2006";169;"2005-08-21 16:03:01";3;2.99;17.99
705;11084;32;"AIRPLANE SIERRA";"2006";62;"2005-08-02 07:34:19";6;4.99;28.99
706;14942;32;"AIRPLANE SIERRA";"2006";62;"2005-08-22 05:58:27";6;4.99;28.99
707;3159;33;"AIRPLANE SIERRA";"2006";62;"2005-06-20 21:11:50";6;4.99;28.99
708;4937;33;"AIRPLANE SIERRA";"2006";62;"2005-07-08 22:29:59";6;4.99;28.99
709;10205;33;"AIRPLANE SIERRA";"2006";62;"2005-08-01 00:48:24";6;4.99;28.99
710;15224;33;"AIRPLANE SIERRA";"2006";62;"2005-08-22 17:18:05";6;4.99;28.99
711;6876;34;"AIRPLANE SIERRA";"2006";62;"2005-07-12 20:32:50";6;4.99;28.99
712;7156;34;"AIRPLANE SIERRA";"2006";62;"2005-07-27 07:19:34";6;4.99;28.99
713;13303;34;"AIRPLANE SIERRA";"2006";62;"2005-08-19 18:55:21";6;4.99;28.99
714;3378;35;"AIRPLANE SIERRA";"2006";62;"2005-06-21 13:51:28";6;4.99;28.99
715;6287;35;"AIRPLANE SIERRA";"2006";62;"2005-07-11 17:00:04";6;4.99;28.99
716;7352;35;"AIRPLANE SIERRA";"2006";62;"2005-07-27 14:38:29";6;4.99;28.99
717;14215;35;"AIRPLANE SIERRA";"2006";62;"2005-08-21 04:34:11";6;4.99;28.99
718;9751;36;"AIRPLANE SIERRA";"2006";62;"2005-07-31 09:20:50";6;4.99;28.99
719;12500;36;"AIRPLANE SIERRA";"2006";62;"2005-08-18 13:05:51";6;4.99;28.99
720;120;37;"AIRPORT POLLOCK";"2006";54;"2005-05-25 19:37:47";6;4.99;15.99
721;2360;37;"AIRPORT POLLOCK";"2006";54;"2005-06-18 13:11:13";6;4.99;15.99
722;4626;37;"AIRPORT POLLOCK";"2006";54;"2005-07-08 08:18:21";6;4.99;15.99
723;10422;37;"AIRPORT POLLOCK";"2006";54;"2005-08-01 08:17:11";6;4.99;15.99
724;14483;37;"AIRPORT POLLOCK";"2006";54;"2005-08-21 13:43:59";6;4.99;15.99
725;6219;38;"AIRPORT POLLOCK";"2006";54;"2005-07-11 13:18:37";6;4.99;15.99
726;7845;38;"AIRPORT POLLOCK";"2006";54;"2005-07-28 09:18:07";6;4.99;15.99
727;15989;38;"AIRPORT POLLOCK";"2006";54;"2005-08-23 20:24:36";6;4.99;15.99
728;785;39;"AIRPORT POLLOCK";"2006";54;"2005-05-29 15:08:41";6;4.99;15.99
729;1814;39;"AIRPORT POLLOCK";"2006";54;"2005-06-16 21:15:22";6;4.99;15.99
730;3807;39;"AIRPORT POLLOCK";"2006";54;"2005-07-06 15:11:44";6;4.99;15.99
731;10026;39;"AIRPORT POLLOCK";"2006";54;"2005-07-31 18:31:51";6;4.99;15.99
732;12559;39;"AIRPORT POLLOCK";"2006";54;"2005-08-18 14:53:58";6;4.99;15.99
733;1058;40;"AIRPORT POLLOCK";"2006";54;"2005-05-31 08:04:17";6;4.99;15.99
734;2771;40;"AIRPORT POLLOCK";"2006";54;"2005-06-19 17:54:48";6;4.99;15.99
735;3959;40;"AIRPORT POLLOCK";"2006";54;"2005-07-06 22:07:58";6;4.99;15.99
736;8434;40;"AIRPORT POLLOCK";"2006";54;"2005-07-29 07:20:14";6;4.99;15.99
737;11799;40;"AIRPORT POLLOCK";"2006";54;"2005-08-17 11:25:25";6;4.99;15.99
738;5745;41;"ALABAMA DEVIL";"2006";114;"2005-07-10 12:10:11";3;2.99;21.99
739;10036;41;"ALABAMA DEVIL";"2006";114;"2005-07-31 18:47:20";3;2.99;21.99
740;15802;41;"ALABAMA DEVIL";"2006";114;"2005-08-23 14:26:51";3;2.99;21.99
741;3880;42;"ALABAMA DEVIL";"2006";114;"2005-07-06 18:32:49";3;2.99;21.99
742;8837;42;"ALABAMA DEVIL";"2006";114;"2005-07-29 22:49:00";3;2.99;21.99
743;15639;42;"ALABAMA DEVIL";"2006";114;"2005-08-23 08:03:25";3;2.99;21.99
744;7835;43;"ALABAMA DEVIL";"2006";114;"2005-07-28 08:49:39";3;2.99;21.99
745;15776;43;"ALABAMA DEVIL";"2006";114;"2005-08-23 13:26:01";3;2.99;21.99
746;9442;44;"ALABAMA DEVIL";"2006";114;"2005-07-30 21:44:31";3;2.99;21.99
747;12096;44;"ALABAMA DEVIL";"2006";114;"2005-08-17 22:32:50";3;2.99;21.99
748;7288;45;"ALABAMA DEVIL";"2006";114;"2005-07-27 12:24:59";3;2.99;21.99
749;12027;45;"ALABAMA DEVIL";"2006";114;"2005-08-17 20:01:12";3;2.99;21.99
750;1948;46;"ALADDIN CALENDAR";"2006";63;"2005-06-17 08:06:53";6;4.99;24.99
751;6703;46;"ALADDIN CALENDAR";"2006";63;"2005-07-12 12:50:19";6;4.99;24.99
752;7174;46;"ALADDIN CALENDAR";"2006";63;"2005-07-27 08:00:36";6;4.99;24.99
753;13109;46;"ALADDIN CALENDAR";"2006";63;"2005-08-19 11:23:20";6;4.99;24.99
754;10696;47;"ALADDIN CALENDAR";"2006";63;"2005-08-01 18:18:13";6;4.99;24.99
755;13345;47;"ALADDIN CALENDAR";"2006";63;"2005-08-19 20:25:24";6;4.99;24.99
756;10482;48;"ALADDIN CALENDAR";"2006";63;"2005-08-01 10:17:47";6;4.99;24.99
757;14697;48;"ALADDIN CALENDAR";"2006";63;"2005-08-21 20:49:21";6;4.99;24.99
758;4400;49;"ALADDIN CALENDAR";"2006";63;"2005-07-07 21:22:26";6;4.99;24.99
759;10210;49;"ALADDIN CALENDAR";"2006";63;"2005-08-01 00:58:52";6;4.99;24.99
760;13878;49;"ALADDIN CALENDAR";"2006";63;"2005-08-20 15:17:38";6;4.99;24.99
761;1783;50;"ALADDIN CALENDAR";"2006";63;"2005-06-16 19:23:23";6;4.99;24.99
762;4042;50;"ALADDIN CALENDAR";"2006";63;"2005-07-07 03:06:40";6;4.99;24.99
763;10786;50;"ALADDIN CALENDAR";"2006";63;"2005-08-01 21:29:34";6;4.99;24.99
764;14413;50;"ALADDIN CALENDAR";"2006";63;"2005-08-21 11:06:33";6;4.99;24.99
765;2562;51;"ALADDIN CALENDAR";"2006";63;"2005-06-19 03:15:05";6;4.99;24.99
766;5139;51;"ALADDIN CALENDAR";"2006";63;"2005-07-09 08:01:51";6;4.99;24.99
767;9184;51;"ALADDIN CALENDAR";"2006";63;"2005-07-30 12:10:19";6;4.99;24.99
768;12704;51;"ALADDIN CALENDAR";"2006";63;"2005-08-18 20:43:00";6;4.99;24.99
769;1325;52;"ALADDIN CALENDAR";"2006";63;"2005-06-15 11:03:24";6;4.99;24.99
770;4707;52;"ALADDIN CALENDAR";"2006";63;"2005-07-08 11:57:28";6;4.99;24.99
771;8821;52;"ALADDIN CALENDAR";"2006";63;"2005-07-29 22:18:12";6;4.99;24.99
772;14041;52;"ALADDIN CALENDAR";"2006";63;"2005-08-20 21:45:23";6;4.99;24.99
773;563;53;"ALAMO VIDEOTAPE";"2006";126;"2005-05-28 09:10:49";6;0.99;16.99
774;2517;53;"ALAMO VIDEOTAPE";"2006";126;"2005-06-19 00:11:26";6;0.99;16.99
775;5461;53;"ALAMO VIDEOTAPE";"2006";126;"2005-07-09 22:48:04";6;0.99;16.99
776;8365;53;"ALAMO VIDEOTAPE";"2006";126;"2005-07-29 05:11:00";6;0.99;16.99
777;13395;53;"ALAMO VIDEOTAPE";"2006";126;"2005-08-19 22:05:40";6;0.99;16.99
778;10119;54;"ALAMO VIDEOTAPE";"2006";126;"2005-07-31 21:20:59";6;0.99;16.99
779;12780;54;"ALAMO VIDEOTAPE";"2006";126;"2005-08-18 23:48:16";6;0.99;16.99
780;5418;55;"ALAMO VIDEOTAPE";"2006";126;"2005-07-09 20:41:35";6;0.99;16.99
781;7635;55;"ALAMO VIDEOTAPE";"2006";126;"2005-07-28 01:08:11";6;0.99;16.99
782;12380;55;"ALAMO VIDEOTAPE";"2006";126;"2005-08-18 08:27:28";6;0.99;16.99
783;4027;56;"ALAMO VIDEOTAPE";"2006";126;"2005-07-07 02:19:01";6;0.99;16.99
784;11254;56;"ALAMO VIDEOTAPE";"2006";126;"2005-08-02 13:43:49";6;0.99;16.99
785;14887;56;"ALAMO VIDEOTAPE";"2006";126;"2005-08-22 04:04:31";6;0.99;16.99
786;11069;57;"ALAMO VIDEOTAPE";"2006";126;"2005-08-02 07:09:34";6;0.99;16.99
787;12537;57;"ALAMO VIDEOTAPE";"2006";126;"2005-08-18 14:06:39";6;0.99;16.99
788;633;58;"ALAMO VIDEOTAPE";"2006";126;"2005-05-28 17:37:59";6;0.99;16.99
789;2033;58;"ALAMO VIDEOTAPE";"2006";126;"2005-06-17 13:24:43";6;0.99;16.99
790;4785;58;"ALAMO VIDEOTAPE";"2006";126;"2005-07-08 16:10:19";6;0.99;16.99
791;10045;58;"ALAMO VIDEOTAPE";"2006";126;"2005-07-31 19:04:35";6;0.99;16.99
792;13544;58;"ALAMO VIDEOTAPE";"2006";126;"2005-08-20 03:44:26";6;0.99;16.99
793;1326;59;"ALAMO VIDEOTAPE";"2006";126;"2005-06-15 11:07:39";6;0.99;16.99
794;5692;59;"ALAMO VIDEOTAPE";"2006";126;"2005-07-10 09:32:22";6;0.99;16.99
795;8596;59;"ALAMO VIDEOTAPE";"2006";126;"2005-07-29 12:48:54";6;0.99;16.99
796;11631;59;"ALAMO VIDEOTAPE";"2006";126;"2005-08-17 04:28:56";6;0.99;16.99
797;6936;60;"ALASKA PHANTOM";"2006";136;"2005-07-26 23:13:34";6;0.99;22.99
798;13625;60;"ALASKA PHANTOM";"2006";136;"2005-08-20 06:52:03";6;0.99;22.99
799;1724;61;"ALASKA PHANTOM";"2006";136;"2005-06-16 15:15:43";6;0.99;22.99
800;5594;61;"ALASKA PHANTOM";"2006";136;"2005-07-10 04:33:36";6;0.99;22.99
801;8563;61;"ALASKA PHANTOM";"2006";136;"2005-07-29 11:32:58";6;0.99;22.99
802;15232;61;"ALASKA PHANTOM";"2006";136;"2005-08-22 17:37:02";6;0.99;22.99
803;827;62;"ALASKA PHANTOM";"2006";136;"2005-05-29 21:58:43";6;0.99;22.99
804;1270;62;"ALASKA PHANTOM";"2006";136;"2005-06-15 07:30:22";6;0.99;22.99
805;4061;62;"ALASKA PHANTOM";"2006";136;"2005-07-07 04:13:35";6;0.99;22.99
806;9179;62;"ALASKA PHANTOM";"2006";136;"2005-07-30 12:02:41";6;0.99;22.99
807;13110;62;"ALASKA PHANTOM";"2006";136;"2005-08-19 11:24:37";6;0.99;22.99
808;983;63;"ALASKA PHANTOM";"2006";136;"2005-05-30 22:15:51";6;0.99;22.99
809;2725;63;"ALASKA PHANTOM";"2006";136;"2005-06-19 15:01:23";6;0.99;22.99
810;5498;63;"ALASKA PHANTOM";"2006";136;"2005-07-10 00:27:21";6;0.99;22.99
811;7918;63;"ALASKA PHANTOM";"2006";136;"2005-07-28 11:58:53";6;0.99;22.99
812;13779;63;"ALASKA PHANTOM";"2006";136;"2005-08-20 12:03:54";6;0.99;22.99
813;9681;64;"ALASKA PHANTOM";"2006";136;"2005-07-31 06:42:09";6;0.99;22.99
814;15591;64;"ALASKA PHANTOM";"2006";136;"2005-08-23 06:11:52";6;0.99;22.99
815;2808;65;"ALASKA PHANTOM";"2006";136;"2005-06-19 19:34:45";6;0.99;22.99
816;3705;65;"ALASKA PHANTOM";"2006";136;"2005-07-06 10:17:59";6;0.99;22.99
817;11043;65;"ALASKA PHANTOM";"2006";136;"2005-08-02 06:04:44";6;0.99;22.99
818;13037;65;"ALASKA PHANTOM";"2006";136;"2005-08-19 08:53:57";6;0.99;22.99
819;2659;66;"ALASKA PHANTOM";"2006";136;"2005-06-19 10:47:42";6;0.99;22.99
820;5170;66;"ALASKA PHANTOM";"2006";136;"2005-07-09 09:24:19";6;0.99;22.99
821;7920;66;"ALASKA PHANTOM";"2006";136;"2005-07-28 12:01:19";6;0.99;22.99
822;12976;66;"ALASKA PHANTOM";"2006";136;"2005-08-19 06:52:58";6;0.99;22.99
823;10015;67;"ALI FOREVER";"2006";150;"2005-07-31 18:11:17";4;4.99;21.99
824;15370;67;"ALI FOREVER";"2006";150;"2005-08-22 21:59:29";4;4.99;21.99
825;8010;68;"ALI FOREVER";"2006";150;"2005-07-28 15:26:20";4;4.99;21.99
826;15561;68;"ALI FOREVER";"2006";150;"2005-08-23 05:02:31";4;4.99;21.99
827;10838;69;"ALI FOREVER";"2006";150;"2005-08-01 23:36:10";4;4.99;21.99
828;14845;69;"ALI FOREVER";"2006";150;"2005-08-22 02:12:44";4;4.99;21.99
829;6649;70;"ALI FOREVER";"2006";150;"2005-07-12 10:51:09";4;4.99;21.99
830;8272;70;"ALI FOREVER";"2006";150;"2005-07-29 01:29:51";4;4.99;21.99
831;15294;70;"ALI FOREVER";"2006";150;"2006-02-14 15:16:03";4;4.99;21.99
832;505;71;"ALIEN CENTER";"2006";46;"2005-05-28 02:06:37";5;2.99;10.99
833;2074;71;"ALIEN CENTER";"2006";46;"2005-06-17 16:40:03";5;2.99;10.99
834;6090;71;"ALIEN CENTER";"2006";46;"2005-07-11 05:47:08";5;2.99;10.99
835;11262;71;"ALIEN CENTER";"2006";46;"2005-08-02 13:58:55";5;2.99;10.99
836;15565;71;"ALIEN CENTER";"2006";46;"2005-08-23 05:13:09";5;2.99;10.99
837;481;72;"ALIEN CENTER";"2006";46;"2005-05-27 22:49:27";5;2.99;10.99
838;2699;72;"ALIEN CENTER";"2006";46;"2005-06-19 13:29:28";5;2.99;10.99
839;4443;72;"ALIEN CENTER";"2006";46;"2005-07-07 23:05:53";5;2.99;10.99
840;10362;72;"ALIEN CENTER";"2006";46;"2005-08-01 05:55:13";5;2.99;10.99
841;13874;72;"ALIEN CENTER";"2006";46;"2005-08-20 15:11:48";5;2.99;10.99
842;3826;73;"ALIEN CENTER";"2006";46;"2005-07-06 15:51:58";5;2.99;10.99
843;9263;73;"ALIEN CENTER";"2006";46;"2005-07-30 14:48:24";5;2.99;10.99
844;14061;73;"ALIEN CENTER";"2006";46;"2005-08-20 22:32:11";5;2.99;10.99
845;6965;74;"ALIEN CENTER";"2006";46;"2005-07-27 00:15:18";5;2.99;10.99
846;15957;74;"ALIEN CENTER";"2006";46;"2005-08-23 19:21:22";5;2.99;10.99
847;5036;75;"ALIEN CENTER";"2006";46;"2005-07-09 02:58:41";5;2.99;10.99
848;8863;75;"ALIEN CENTER";"2006";46;"2005-07-29 23:52:01";5;2.99;10.99
849;12730;75;"ALIEN CENTER";"2006";46;"2005-08-18 21:55:01";5;2.99;10.99
850;1277;76;"ALIEN CENTER";"2006";46;"2005-06-15 08:01:29";5;2.99;10.99
851;4333;76;"ALIEN CENTER";"2006";46;"2005-07-07 18:31:50";5;2.99;10.99
852;10230;76;"ALIEN CENTER";"2006";46;"2005-08-01 01:49:36";5;2.99;10.99
853;11708;76;"ALIEN CENTER";"2006";46;"2005-08-17 07:26:47";5;2.99;10.99
854;10103;77;"ALLEY EVOLUTION";"2006";180;"2005-07-31 20:49:13";6;2.99;23.99
855;14976;77;"ALLEY EVOLUTION";"2006";180;"2005-08-22 07:10:26";6;2.99;23.99
856;2461;78;"ALLEY EVOLUTION";"2006";180;"2005-06-18 19:58:12";6;2.99;23.99
857;5382;78;"ALLEY EVOLUTION";"2006";180;"2005-07-09 19:12:57";6;2.99;23.99
858;10890;78;"ALLEY EVOLUTION";"2006";180;"2005-08-02 00:58:46";6;2.99;23.99
859;12442;78;"ALLEY EVOLUTION";"2006";180;"2005-08-18 10:50:07";6;2.99;23.99
860;64;79;"ALLEY EVOLUTION";"2006";180;"2005-05-25 09:21:29";6;2.99;23.99
861;1930;79;"ALLEY EVOLUTION";"2006";180;"2005-06-17 06:50:46";6;2.99;23.99
862;3483;79;"ALLEY EVOLUTION";"2006";180;"2005-07-05 23:13:51";6;2.99;23.99
863;11226;79;"ALLEY EVOLUTION";"2006";180;"2005-08-02 12:47:30";6;2.99;23.99
864;11928;79;"ALLEY EVOLUTION";"2006";180;"2005-08-17 16:28:24";6;2.99;23.99
865;4743;80;"ALLEY EVOLUTION";"2006";180;"2005-07-08 13:42:36";6;2.99;23.99
866;7738;80;"ALLEY EVOLUTION";"2006";180;"2005-07-28 05:21:42";6;2.99;23.99
867;12312;80;"ALLEY EVOLUTION";"2006";180;"2005-08-18 06:07:26";6;2.99;23.99
868;10606;81;"ALONE TRIP";"2006";82;"2005-08-01 14:39:15";3;0.99;14.99
869;12988;81;"ALONE TRIP";"2006";82;"2006-02-14 15:16:03";3;0.99;14.99
870;4612;82;"ALONE TRIP";"2006";82;"2005-07-08 07:40:44";3;0.99;14.99
871;10470;82;"ALONE TRIP";"2006";82;"2005-08-01 09:52:26";3;0.99;14.99
872;14585;82;"ALONE TRIP";"2006";82;"2005-08-21 17:18:33";3;0.99;14.99
873;8271;83;"ALONE TRIP";"2006";82;"2005-07-29 01:27:44";3;0.99;14.99
874;13606;83;"ALONE TRIP";"2006";82;"2005-08-20 06:07:01";3;0.99;14.99
875;7823;84;"ALONE TRIP";"2006";82;"2005-07-28 08:32:53";3;0.99;14.99
876;14566;84;"ALONE TRIP";"2006";82;"2005-08-21 16:25:05";3;0.99;14.99
877;716;85;"ALONE TRIP";"2006";82;"2005-05-29 04:35:29";3;0.99;14.99
878;2401;85;"ALONE TRIP";"2006";82;"2005-06-18 16:22:03";3;0.99;14.99
879;5834;85;"ALONE TRIP";"2006";82;"2005-07-10 16:44:12";3;0.99;14.99
880;11175;85;"ALONE TRIP";"2006";82;"2005-08-02 10:38:47";3;0.99;14.99
881;13852;85;"ALONE TRIP";"2006";82;"2005-08-20 14:45:23";3;0.99;14.99
